"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44"
"Table","4.03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*** WEE","DAY LINK","D TRANSI","TRIPS O","PROJECT","(All Tra","sit/All","ar HH)**",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Distric","to Dist","ict MODE","Summary","for Scen","rio  3:","2045 BUI","D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All Pur","oses All","Transit","ll Acces","All car","HH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Idist","Downt","Downt","West","Lower","MtAub","Corry","UCMed","MtAda","Walnu","Clift","North","Winto","BondH","Xavie","Finne","Colle","Amber","Wethe","Green","Bethe","Kenwo","Milfo","HydeP","Fores","Norwo","Oakle","North","East","West","India","Monfo","MtAir","EPric","Delhi","westw","Upper","N_Bou","Kentu","Devou","EastE","airpo","Other","Total"
"Monfo","88","34","1","19","21","20","12","6","5","18","7","4","0","0","0","12","0","0","37","0","0","0","0","0","0","1","0","0","1","0","1","17","4","0","1","27","0","3","0","1","3","0","344"
"MtAir","16","12","0","0","3","2","6","1","0","2","3","0","0","0","3","9","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","28","0","5","1","0","121"
"EPric","1","0","0","0","0","0","0","0","0","11","0","1","0","0","1","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21"
"Delhi","3","2","0","1","0","0","1","0","0","2","3","3","0","0","5","11","0","0","17","0","0","0","0","0","0","0","0","0","0","0","4","1","0","0","0","17","0","0","0","0","0","0","71"
"westw","13","5","0","1","2","4","3","0","1","2","1","0","0","0","0","2","1","0","26","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","26","0","3","0","0","0","0","96"
"Upper","51","17","0","22","0","1","0","1","0","0","3","8","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","25","0","2","0","1","0","0","134"
"N_Bou","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Kentu","1","0","0","0","0","0","0","0","0","1","5","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","9","3","0","0","0","6","0","0","0","0","0","0","30"
"Devou","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","8"
"EastE","1","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","1","5","0","0","0","5","0","0","0","0","0","0","20"
"airpo","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"Other","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Total","790","705","17","71","83","189","117","17","77","537","322","115","8","10","77","173","43","2","376","3","7","0","7","1","6","31","0","0","5","0","62","190","86","22","24","900","0","53","21","25","47","0","5220"
