,_Route_ID                 --Route Name,_#Trips,EXISTING_Miles,_Hours,_#Trips,NO-BUILD_Miles,_Hours,_#Trips,BUILD_Miles,_Hours
68,32-362&L                 --32-Price Hill - Delhi - Sayl,0,0.00,0.00,23,285.21,18.77,0,0.00,0.00
69,32-367&L                 --32-Price Hill - Delhi - Sayl,0,0.00,0.00,0,0.00,0.00,23,285.21,18.77
70,32X&T                    --32X-Burlington Express,4,51.31,1.97,4,51.31,1.97,4,51.31,1.97
71,33-348&L                 --33-Glenway Avenue,38,328.30,30.40,0,0.00,0.00,0,0.00,0.00
72,33-362&L                 --33-Glenway Avenue,0,0.00,0.00,38,329.39,30.67,0,0.00,0.00
73,33-367&L                 --33-Glenway Avenue,0,0.00,0.00,0,0.00,0.00,38,329.39,30.67
74,352&T                    --Holmes HS #3 PM-Holmes #3 PM,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
75,36-362&L                 --36-Crosstown: Price Hill - U,0,0.00,0.00,16,214.17,16.33,0,0.00,0.00
76,36-367&L                 --36-Crosstown: Price Hill - U,0,0.00,0.00,0,0.00,0.00,16,214.17,16.33
77,37-348&L                 --37-Crosstown: Glenway - MLK,15,232.60,16.75,0,0.00,0.00,0,0.00,0.00
78,37-362&L                 --37-Westwood Northern - Madis,0,0.00,0.00,28,439.87,30.67,0,0.00,0.00
79,37-367&L                 --37-Westwood Northern - Madis,0,0.00,0.00,0,0.00,0.00,28,439.87,30.67
80,3701&T                   --Southbank Shuttle-Southbank,28,114.89,13.53,28,114.89,13.53,28,114.89,13.53
81,38-348&L                 --38-Glenway Crossing- Uptown,4,42.72,3.07,0,0.00,0.00,0,0.00,0.00
82,38-362&L                 --38-Glenway Crossing- Uptown,0,0.00,0.00,4,42.72,3.07,0,0.00,0.00
83,38-367&L                 --38-Glenway Crossing- Uptown,0,0.00,0.00,0,0.00,0.00,4,42.72,3.07
84,39X&T                    --39X-Petersburg Rd/South Hebr,12,166.53,7.80,12,166.53,7.80,12,166.53,7.80
85,3X-349&E                 --3X-Montgomery Express - Job,8,124.73,5.62,0,0.00,0.00,0,0.00,0.00
86,3X-363&E                 --3X-Montgomery Express - Job,0,0.00,0.00,8,124.73,5.62,8,124.73,5.62
87,4-348&L                  --4-Montgomery Rd,31,463.41,33.45,0,0.00,0.00,0,0.00,0.00
88,4-362&L                  --4-Montgomery Rd,0,0.00,0.00,31,463.41,33.45,0,0.00,0.00
89,4-367&L                  --4-Montgomery Rd,0,0.00,0.00,0,0.00,0.00,31,463.41,33.45
90,40-348&L                 --40-Montana Avenue - Commuter,4,43.69,2.23,0,0.00,0.00,0,0.00,0.00
91,40-362&L                 --40-Montana Avenue - Commuter,0,0.00,0.00,4,43.75,2.23,0,0.00,0.00
92,40-367&L                 --40-Montana Avenue - Commuter,0,0.00,0.00,0,0.00,0.00,4,43.75,2.23
93,40X&T                    --40X-Worldwide Blvd/North Heb,14,204.40,10.97,14,204.40,10.97,14,204.40,10.97
94,41-348&L                 --41-Crosstown: Westwood - Oak,22,459.27,28.52,0,0.00,0.00,0,0.00,0.00
