"Route ID","Route Name","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"Table    10.04",,,,,,,,,,
"***** OFF-PEAK TRIPS, MILES AND HOURS BY ROUTE ********",,"***",,,,,,,,
"Comparison of Weekday Operating Statistics by Scenario",,,,,,,,,,
"OFF-PEAK=any trip serving one or more stops between 10:",,"0 am a","d 2:15 pm",,,,,,,
,,"Y2023","XISTING",,"Y2023","O-BUILD",,"Y2023","UILD",
,,"======","============","============","======","============","============","======","============","============"
"Route_ID","Route Name","#Trips","Miles","Hours","#Trips","Miles","Hours","#Trips","Miles","Hours"
"3701&T","Southbank Shuttle-Southbank","38","155.92","18.37","38","155.92","18.37","38","155.92","18.37"
"38-348&L","38-Glenway Crossing- Uptown","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"38-362&L","38-Glenway Crossing- Uptown","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"38-367&L","38-Glenway Crossing- Uptown","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"39X&T","39X-Petersburg Rd/South Hebr","1","12.34","0.53","1","12.34","0.53","1","12.34","0.53"
"3X-349&E","3X-Montgomery Express - Job","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"3X-363&E","3X-Montgomery Express - Job","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"4-348&L","4-Montgomery Rd","33","493.02","38.47","0","0.00","0.00","0","0.00","0.00"
"4-362&L","4-Montgomery Rd","0","0.00","0.00","33","493.02","38.42","0","0.00","0.00"
"4-367&L","4-Montgomery Rd","0","0.00","0.00","0","0.00","0.00","33","493.02","38.42"
"40-348&L","40-Montana Avenue - Commuter","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"40-362&L","40-Montana Avenue - Commuter","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"40-367&L","40-Montana Avenue - Commuter","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"40X&T","40X-Worldwide Blvd/North Heb","1","12.81","0.65","1","12.81","0.65","1","12.81","0.65"
"41-348&L","41-Crosstown: Westwood - Oak","11","215.26","13.25","0","0.00","0.00","0","0.00","0.00"
"41-362&L","41-Crosstown: Westwood - Oak","0","0.00","0.00","11","215.26","13.25","0","0.00","0.00"
"41-367&L","41-Crosstown: Westwood - Oak","0","0.00","0.00","0","0.00","0.00","11","215.26","13.25"
"412&T","Newport HS #2 AM-Newport HS","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"42X&T","42X-Florence Hub/Industrial","10","162.89","7.33","10","162.89","7.33","10","162.89","7.33"
"42X-350&C","42X-West Chester Express","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"43-348&L","43-Reading Road","44","651.44","46.98","0","0.00","0.00","0","0.00","0.00"
"43-362&L","43-Reading - Paddock - Wayne","0","0.00","0.00","22","338.20","27.87","0","0.00","0.00"
"43-367&L","43-Reading - Paddock - Wayne","0","0.00","0.00","0","0.00","0.00","22","338.20","27.87"
"44-362&L","44-Upper Reading Road","0","0.00","0.00","20","225.58","15.00","0","0.00","0.00"
"44-367&L","44-Upper Reading Road","0","0.00","0.00","0","0.00","0.00","20","225.57","15.00"
"450&T","Holmes HS #2 PM-Holmes HS #2","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"451&T","Holmes HS #2 AM-Holmes HS #2","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"46-348&L","46-Avondale - Winton Hills","21","270.46","22.42","0","0.00","0.00","0","0.00","0.00"
"46-362&L","46-Uptown - Winton Terrace","0","0.00","0.00","22","255.97","22.74","0","0.00","0.00"
"46-367&L","46-Uptown - Winton Terrace","0","0.00","0.00","0","0.00","0.00","22","255.97","22.74"
"47-362&L","47-Mitchell Avenue","0","0.00","0.00","20","188.70","14.00","0","0.00","0.00"
"47-367&L","47-Mitchell Avenue","0","0.00","0.00","0","0.00","0.00","20","188.70","14.00"
"485&T","Holmes HS #5 PM-Holmes HS #5","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"49-348&L","49-Fairmount - English Woods","14","88.63","7.47","0","0.00","0.00","0","0.00","0.00"
"49-362&L","49-Fairmount - English Woods","0","0.00","0.00","14","89.53","7.47","0","0.00","0.00"
"49-367&L","49-Fairmount - English Woods","0","0.00","0.00","0","0.00","0.00","14","89.53","7.47"
"5&T","5-Holman Ave/Fort Wright","10","95.22","8.33","10","95.22","8.33","10","95.22","8.33"
"5-348&L","5-Crosstown: Oakley - Sharon","21","289.01","18.05","0","0.00","0.00","0","0.00","0.00"
"5-362&L","5-Crosstown: Oakley - Sharon","0","0.00","0.00","17","230.06","15.47","0","0.00","0.00"
"5-367&L","5-Crosstown: Oakley - Sharon","0","0.00","0.00","0","0.00","0.00","17","230.06","15.47"
"50-348&L","50-River Road - Sayler Park","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"50-362&L","50-River Road - Sayler Park","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"50-367&L","50-River Road - Sayler Park","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"51-348&L","51-Crosstown: Glenway - Hyde","24","424.44","34.43","0","0.00","0.00","0","0.00","0.00"
"51-362&L","51-Crosstown: Glenway - Hyde","0","0.00","0.00","24","424.30","34.43","0","0.00","0.00"
"51-367&L","51-Crosstown: Glenway - Hyde","0","0.00","0.00","0","0.00","0.00","24","424.30","34.43"
